id	mittente	destinatario	luogo_mittente
119	Manzoni, Alessandro	Fauriel, Claude	Brusuglio
120	Manzoni, Alessandro	Fauriel, Claude	Milano
121	Manzoni, Alessandro	Ticozzi, Francesco	Milano
122	Manzoni, Alessandro	Blondel, Henri	Brusuglio
125	Manzoni, Alessandro	Beccaria, Giulio	Parigi
126	Manzoni, Alessandro	Tosi, Luigi	Parigi
127	Manzoni, Alessandro	Beccaria, Giulio	Parigi
128	Manzoni, Alessandro	Giudici, Gaetano	Parigi
129	Manzoni, Alessandro	Beccaria, Giulio	Parigi
130	Manzoni, Alessandro	Maderna, Leopoldo	Parigi
131	Manzoni, Alessandro	Visconti d'Aragona, Alessandro	Parigi
132	Manzoni, Alessandro	Grossi, Tommaso	Parigi
133	Manzoni, Alessandro	Tosi, Luigi	Parigi
134	Manzoni, Alessandro	Beccaria, Giulio	Parigi
135	Manzoni, Alessandro	Fauriel, Claude	Parigi
136	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
137	Manzoni, Alessandro	Fauriel, Claude	Milano
138	Manzoni, Alessandro	Paroletti, Luigi	Milano
139	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
140	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
141	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
142	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
143	Manzoni, Alessandro	Goethe, Johann Wolfgang von	Milano
144	Manzoni, Alessandro	Fauriel, Claude	Milano
145	Manzoni, Alessandro	Cousin, Victor	Milano
146	Manzoni, Alessandro	Fauriel, Claude	Milano
147	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
148	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
149	Manzoni, Alessandro	Fauriel, Claude	Brusuglio
150	Manzoni, Alessandro	Cattaneo, Gaetano	Brusuglio
151	Manzoni, Alessandro	Visconti d'Aragona, Alessandro	Milano
152	Manzoni, Alessandro	Pagani, Giovan Battista	Milano
153	Manzoni, Alessandro	Fauriel, Claude	Milano
154	Manzoni, Alessandro	Pagani, Giovan Battista	Milano
156	Manzoni, Alessandro	Cattaneo, Gaetano	Brusuglio
157	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
158	Manzoni, Alessandro	Fauriel, Claude	Milano
159	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
160	Manzoni, Alessandro	Fauriel, Claude	Milano
161	Manzoni, Alessandro	Fauriel, Claude	Milano
163	Manzoni, Alessandro	Soletti, Pietro	Milano
164	Manzoni, Alessandro	Grossi, Tommaso	Milano
165	Manzoni, Alessandro	Fauriel, Claude	Milano
166	Manzoni, Alessandro	Cattaneo, Gaetano	Milano
