id	anno
1	1803
2	1803
3	1803
4	1803
5	1804
6	1804
7	1804
8	1804
9	1805
11	1806
12	1806
13	1806
14	1806
16	1806
17	1806
18	1806
19	1806
20	1807
22	1807
25	1807
26	1807
27	1807
28	1807
29	1807
30	1807
31	1807
32	1807
33	1807
34	1807
35	1807
36	1807
37	1807
39	1807
40	1808
41	1808
42	1808
43	1818
44	1808
45	1808
46	1808
47	1808
48	1808
49	1808
50	1808
51	1809
52	1809
53	1809
54	1809
55	1809
56	1809
57	1809
58	1809
59	1809
60	1809
61	1809
62	1809
63	1809
64	1809
65	1809
66	1809
68	1810
69	1810
70	1810
71	1810
72	1810
73	1810
74	1810
75	1810
76	1810
77	1810
78	1811
79	1811
80	1811
82	
84	1811
85	1811
86	1811
88	1812
89	1812
90	1812
91	1812
92	1813
93	1813
94	1813
95	
96	1813
97	1814
98	1814
99	1814
100	1814
101	1815
102	1815
103	1815
104	1815
105	1815
106	
107	1815
108	1815
109	1815
110	1816
111	1816
112	1816
113	1817
114	1817
115	1817
116	1817
117	1817
118	1817
119	1817
120	1819
121	1818
122	1819
125	1819
126	1819
127	1820
128	1820
129	1820
130	1820
131	1820
132	1820
133	1820
134	1820
135	1820
136	1820
137	1820
138	1821
139	1820
140	1826
141	1821
142	1821
143	1821
144	1821
145	1821
146	1821
147	1821
148	1821
149	1821
150	1821
151	1821
152	1821
153	1821
154	1821
156	1824
157	1822
158	1822
159	1822
160	1822
161	1822
163	1822
164	1822
165	1822
166	1822
167	1822
168	1822
169	1822
170	1822
171	1822
172	1822
173	1822
174	1822
175	1822
176	1822
177	1823
178	1823
179	1823
180	1823
181	1823
182	1823
184	1823
185	1823
186	1823
187	1823
188	1823
189	1823
190	1823
191	1823
192	1823
193	1823
194	1824
195	1824
197	1824
198	1824
199	1824
200	1824
201	1824
202	1824
203	1824
204	1824
205	1824
206	1824
207	1824
208	1824
209	1824
210	1824
211	1824
212	1824
213	1824
214	1824
215	1824
216	1824
217	1825
218	1825
219	1825
220	1825
221	1825
222	1825
223	1825
224	1825
225	1825
226	1825
229	1825
230	1825
231	1826
232	1826
233	1826
234	1826
235	1826
236	1826
237	1826
238	1826
239	1826
240	1839
241	1826
242	
243	1826
244	1826
245	1826
246	1826
247	1826
248	1826
249	1826
250	1826
251	1827
252	1827
253	1827
254	1827
255	1827
256	1827
257	1827
258	1827
259	1827
260	1827
261	1827
262	1827
263	1827
264	1827
265	1827
266	1827
267	1827
268	1827
269	1827
270	1827
271	1827
272	1827
273	1827
274	1827
275	1827
276	1827
277	1828
278	1828
279	1828
280	1828
281	1828
282	1828
283	1828
284	1828
